CNY,BRL,CAD,CHF,DKK,HKD,INR,JPY,KRW,MXN,MYR,NOK,SEK,SGD,THB,TWD,AUD,EUR,GBP,NZD,ZAR,
7.7602,2.0925,1.1816,1.2481,5.7633,7.8086,44.03,120.34,935.5,10.9275,3.5,6.275,7.0564,1.5337,34.48,32.92,1.287166945552838,0.7732158045310447,0.5102040816326531,1.462843768285547,7.21,
7.7565,2.0852,1.1819,1.2414,5.7468,7.809,44.03,120.35,932.5,10.922,3.4955,6.2474,7.0393,1.533,34.08,32.92,1.287166945552838,0.7710694733595498,0.5077946478444118,1.4708045300779526,7.196,
7.7474,2.085,1.1851,1.2398,5.7232,7.813,44.01,120.65,933.2,10.94,3.4925,6.216,6.9993,1.5315,34.18,33.01,1.2843565373747754,0.7680491551459293,0.5076399817249606,1.4594279042615295,7.1675,
7.7484,2.097,1.1852,1.2471,5.7178,7.8141,43.98,121.19,934.5,10.967,3.493,6.2269,6.9653,1.5322,34.22,33.03,1.2800819252432156,0.7672241829062453,0.5105687736138058,1.4570887367040652,7.1706,
7.7476,2.0993,1.1736,1.2484,5.7307,7.8131,43.93,121.59,934.3,10.9555,3.4928,6.255,6.995,1.5335,33.6,32.96,1.2878300064391501,0.7689350249903883,0.5125051250512505,1.4626298083954952,7.1575,
7.757,2.1135,1.1746,1.2532,5.7485,7.8136,44.0,121.77,937.4,11.012,3.4923,6.2455,7.0409,1.5409,33.6,33.02,1.2943308309603936,0.7714858818083629,0.5135051864023826,1.4590020426028596,7.28,
7.7632,2.108,1.1686,1.2489,5.7227,7.8141,44.02,121.24,939.4,10.99,3.499,6.2146,7.0316,1.5424,33.4,33.08,1.2863390789812195,0.7678132678132679,0.5143239212055752,1.451589490492089,7.271,
7.7565,2.098,1.166,1.2399,5.678,7.8133,44.0,120.8,938.2,10.917,3.4955,6.1614,6.9595,1.5368,33.36,32.98,1.276650070215754,0.7618467164406522,0.5094762584063582,1.4398848092152627,7.196,
7.7545,2.087,1.1642,1.2362,5.671,7.8087,43.91,119.49,934.2,10.952,3.495,6.1651,7.031,1.5349,33.33,32.9,1.2743723716069837,0.76103500761035,0.5119803399549457,1.4409221902017293,7.195,
7.7426,2.0898,1.1638,1.2341,5.6745,7.8124,43.87,119.23,936.0,10.9924,3.492,6.1173,7.0379,1.5315,33.21,32.94,1.2709710218607015,0.761208799573723,0.5128468126570593,1.4336917562724014,7.1735,
7.7426,2.0898,1.1638,1.2341,5.6745,7.8124,43.87,119.23,936.0,10.9924,3.492,6.1173,7.0379,1.5315,33.21,32.94,1.2709710218607015,0.761208799573723,0.5128468126570593,1.4336917562724014,7.1735,
7.7466,2.081,1.1697,1.2369,5.6749,7.8141,44.12,120.1,938.2,10.9735,3.4925,6.1365,7.051,1.5342,33.63,32.98,1.273560876209883,0.7613826709304097,0.5115874558755819,1.4275517487508922,7.109,
7.7426,2.0791,1.1609,1.2393,5.6781,7.8127,44.0,120.99,938.2,10.9895,3.4925,6.1427,7.0839,1.5332,33.7,32.98,1.2659830358273199,0.7618467164406522,0.5121901249743905,1.416029453412631,7.119,
7.7436,2.074,1.1616,1.2383,5.6762,7.8112,44.05,121.3,938.7,10.9765,3.494,6.1414,7.0823,1.5335,33.82,32.98,1.266624445851805,0.7613826709304097,0.5109600940166573,1.4174344436569808,7.074,
7.7416,2.087,1.1586,1.2332,5.6611,7.8087,44.08,121.1,937.5,11.0285,3.492,6.1246,7.0572,1.5306,33.52,33.07,1.2626262626262625,0.7596475235490732,0.5091908956667854,1.4150275930380642,7.07,
7.75,2.0828,1.1601,1.2327,5.6638,7.8127,44.04,120.76,938.5,11.0715,3.491,6.1161,7.0481,1.5275,33.77,32.96,1.2608750472828143,0.7599361653621095,0.5093984004890224,1.408649105507818,7.0701,
7.7416,2.1045,1.1639,1.2205,5.6262,7.8136,44.21,118.67,938.5,11.1475,3.494,6.1115,6.9711,1.5258,34.13,32.92,1.2605571662674901,0.7549448890231013,0.5086211281216622,1.4196479273140261,7.212,
7.741,2.12,1.17,1.2189,5.6308,7.8119,44.08,118.33,942.3,11.1575,3.5,6.1316,6.998,1.5281,33.8,32.98,1.2671059300557526,0.7558578987150416,0.5098659052669148,1.426126640045636,7.248,
7.7435,2.123,1.1711,1.2226,5.6552,7.8119,44.11,117.53,941.4,11.1846,3.505,6.1551,7.0502,1.5267,33.68,32.88,1.2717792191275594,0.7591285204585136,0.5107513151846366,1.440299582313121,7.2875,
7.7445,2.121,1.1752,1.2173,5.6485,7.8146,44.1,116.82,947.4,11.1765,3.507,6.1607,7.0407,1.5265,33.56,32.84,1.2764871074802144,0.7586102260658474,0.5139274334463974,1.4524328249818446,7.368,
7.7415,2.1385,1.181,1.2218,5.6874,7.8149,44.43,116.01,949.1,11.174,3.516,6.25,7.106,1.5312,33.13,32.92,1.2939958592132506,0.7637085688101422,0.5198856251624643,1.474491300501327,7.4625,
7.7453,2.1235,1.1759,1.2241,5.6803,7.8151,44.18,116.5,947.6,11.1403,3.512,6.2226,7.0618,1.5286,32.65,32.96,1.2924906294429364,0.7628928898382668,0.5189413596263622,1.4690759512266784,7.41,
7.743,2.114,1.1785,1.2208,5.6645,7.8177,44.18,116.41,947.1,11.155,3.509,6.1983,7.0432,1.526,32.7,32.92,1.2878300064391501,0.76057195010648,0.5177323323841574,1.4622020763269485,7.4247,
